,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1329,0.72,1.5433897,0.0236,0
1330,0.65,9.7579,0.0774,0
1331,0.43,58.43,0.261573,0
1332,0.77,42.877701,0.2197,0
1333,0.92,101.133,0.4137,0
1334,1.37,362.5,1.1260395,0
1335,1.41,433.8,1.2639318,0
1336,0.93,28.125,0.1787346,0
1337,1.13,645.0,1.512288,0
1338,1.1,44.997601,0.2555,0
1339,0.57,7.76,0.06426,0
1340,1.2,68.27,0.332376,0
1341,0.78,9017.76,7.77546,0
1342,0.73,32.03,0.1782225,0
1343,0.66,87.19,0.34238675,0
1345,1.34,302.79999,0.929016,0
1346,1.5,69000.0,42.75,0
1347,0.76,7.727283,0.06997101,0
1348,0.63,2.2193023,0.038122465,0
1349,0.76,50.92092,0.2499,0
1350,0.39,6.413651,0.0491568,0
1351,0.46,0.179719,0.0058,0
1352,0.93,67.3,0.3182752,0
1353,1.22,6.959503,0.076343181,0
1354,1.06,2.9887615,0.04145,0
1355,0.93,61.6277,0.3408726,0
1356,0.4,727.562,1.2582,0
1357,0.91,3.8259101,0.0465,0
1358,0.59,11.332,0.083,0
1359,1.24,14.749143,0.1270119,0
1360,0.46,3.07133,0.03194,0
1361,0.46,4.86784,0.04341,0
1362,0.83,8.562421,0.077,0
1363,0.73,6.398042,0.06064462,0
1364,0.66,3.0876262,0.036106521,0
1365,0.98,2.14084,0.03228304,0
1366,0.82,3.20538,0.0399,0
1367,0.46,0.3219225,0.007102762,0
1368,1.01,3.3118644,0.044,0
1369,0.91,3.2175188,0.04207068,0
1370,0.63,32.6479,0.1716,0
1371,0.94,0.365261,0.0097938717,0
1372,0.95,1624.0,2.7349424,0
1373,0.79,18.294549,0.12558365,0
1374,2.1,734.0,2.0710156,0
1375,0.55,7.51574,0.0614,0
1376,1.18,17.355066,0.13859719,0
1377,0.69,6240.0,6.445455,0
1378,1.74,822.3,2.105145,0
1379,1.13,3947.0,4.1902292,0
1380,0.88,9.22453,0.082470757,0
1381,1.28,6.27711,0.070504,0
1382,1.57,882.70001,2.056698,0
1383,0.83,6.673117,0.065176062,0
1384,0.71,17.96753,0.1209278,0
1385,0.71,4.09639,0.0448,0
1386,0.97,0.77401,0.0164,0
1387,0.36,8.239493,0.05748165,0
1388,2.42,144.3,0.722916,0
1389,0.98,3.705871,0.046542011,0
1390,1.01,59.362499,0.2987,0
1391,0.58,17.818,0.126,0
1392,0.93,14.316941,0.11260839,0
1393,0.88,5.868699,0.061004945,0
1394,1.09,21.128457,0.1622,0
1395,0.94,6.679195,0.068,0
